split,prediction_model,reconstruction_variant,diagnostic_name,outcome_name,n_samples,spearman_r,point_biserial_r,auroc_error_predicts_failure,median_error_when_success,median_error_when_failure,median_delta_failure_minus_success
test,logistic_regression,last_snapshot_repeat@40,normalized_mse,correct,1152,-0.013524145432855128,0.015900045223766177,0.49218712278499355,0.8124099373817444,0.6995905935764313,-0.11281934380531311
test,logistic_regression,last_snapshot_repeat@40,normalized_mse,confidence,1152,0.23577738965252606,,,,,
test,logistic_regression,last_snapshot_repeat@40,normalized_mse,proba_true,1152,-0.0176005948797289,,,,,
test,logistic_regression,last_snapshot_repeat@40,normalized_mse,opposite_direction_error,1152,0.053022621831055626,0.04135911310233219,0.5598667450519302,0.737138569355011,0.8195552825927734,0.08241671323776245
test,logistic_regression,last_snapshot_repeat@40,normalized_mse,direction_correct_non_neutral,410,-0.06442747817428875,0.004163182194204422,0.4604980678402748,0.8125385046005249,0.6648131310939789,-0.14772537350654602
test,logistic_regression,last_snapshot_repeat@40,normalized_mae,correct,1152,0.0200746585162079,0.02031498814775362,0.5115970981603979,0.3463258445262909,0.34137059748172754,-0.004955247044563349
test,logistic_regression,last_snapshot_repeat@40,normalized_mae,confidence,1152,0.18061640853816097,,,,,
test,logistic_regression,last_snapshot_repeat@40,normalized_mae,proba_true,1152,-0.04837671674360679,,,,,
test,logistic_regression,last_snapshot_repeat@40,normalized_mae,opposite_direction_error,1152,0.055462673167846296,0.05329560682623676,0.5626217565215386,0.3413220345973968,0.3559228479862213,0.014600813388824518
test,logistic_regression,last_snapshot_repeat@40,normalized_mae,direction_correct_non_neutral,410,-0.07024871091693846,-0.014766645131184504,0.45692893945899526,0.36134909093379974,0.3368097096681595,-0.02453938126564026
test,logistic_regression,last_snapshot_repeat@40,top_of_book_mse,correct,1152,-0.027523647078298057,0.029243354329606782,0.4840996330452416,0.42379805445671076,0.4028019607067108,-0.020996093749999944
test,logistic_regression,last_snapshot_repeat@40,top_of_book_mse,confidence,1152,0.22013098463915598,,,,,
test,logistic_regression,last_snapshot_repeat@40,top_of_book_mse,proba_true,1152,-0.012595017529057478,,,,,
test,logistic_regression,last_snapshot_repeat@40,top_of_book_mse,opposite_direction_error,1152,0.07597339758463474,0.0009510568560116566,0.5857799910087491,0.4052121043205261,0.5451909303665161,0.13997882604599
test,logistic_regression,last_snapshot_repeat@40,top_of_book_mse,direction_correct_non_neutral,410,-0.05107803466670854,0.033101857855482565,0.46868291112065263,0.44225515425205225,0.4216976016759872,-0.020557552576065063
test,logistic_regression,last_snapshot_repeat@40,last_step_mse,correct,1152,,,0.5,0.0,0.0,0.0
test,logistic_regression,last_snapshot_repeat@40,last_step_mse,confidence,1152,,,,,,
test,logistic_regression,last_snapshot_repeat@40,last_step_mse,proba_true,1152,,,,,,
test,logistic_regression,last_snapshot_repeat@40,last_step_mse,opposite_direction_error,1152,,,0.5,0.0,0.0,0.0
test,logistic_regression,last_snapshot_repeat@40,last_step_mse,direction_correct_non_neutral,410,,,0.5,0.0,0.0,0.0
test,logistic_regression,last_snapshot_repeat@40,midprice_mae,correct,1152,0.122616058428156,0.03155922957712075,0.5708349427840278,0.0036153780529275,0.0043945140205323505,0.0007791359676048507
test,logistic_regression,last_snapshot_repeat@40,midprice_mae,confidence,1152,0.03386455880155484,,,,,
test,logistic_regression,last_snapshot_repeat@40,midprice_mae,proba_true,1152,-0.1335588187239003,,,,,
test,logistic_regression,last_snapshot_repeat@40,midprice_mae,opposite_direction_error,1152,0.10347270113492318,0.0013708977249797473,0.6168286244538967,0.0038645195309072,0.005859334487468,0.0019948149565608
test,logistic_regression,last_snapshot_repeat@40,midprice_mae,direction_correct_non_neutral,410,-0.04379058588198039,0.032297968470399285,0.47315103048518675,0.0049036014825105,0.0048100918065756,-9.35096759348995e-05
test,logistic_regression,last_snapshot_repeat@40,spread_mae,correct,1152,0.13550549565939043,0.06879215696394629,0.5782102505914731,4.155516580794938e-05,4.15986778534716e-05,4.351204552222043e-08
test,logistic_regression,last_snapshot_repeat@40,spread_mae,confidence,1152,-0.02878744793438027,,,,,
test,logistic_regression,last_snapshot_repeat@40,spread_mae,proba_true,1152,-0.13814508013925839,,,,,
test,logistic_regression,last_snapshot_repeat@40,spread_mae,opposite_direction_error,1152,0.10691821178334057,0.09986678437664452,0.6206095606967066,4.157185685471632e-05,8.314609294757247e-05,4.157423609285615e-05
test,logistic_regression,last_snapshot_repeat@40,spread_mae,direction_correct_non_neutral,410,-0.019066520412463112,0.021849018642508877,0.48831311721769,4.164218989899382e-05,4.163742050877772e-05,-4.769390216097236e-09
test,logistic_regression,last_snapshot_repeat@40,top1_volume_sum_mae,correct,1152,-0.04731622608373957,-0.03007533407465387,0.47266549176765965,0.5939297080039978,0.5697852075099945,-0.024144500494003296
